scenario,instance,ev,alg,seed,tl,rt,ttt,eff,imp,perc,teleported,preemptime,n_teleported
turin,1,vehev2,allgreen,6479,79.85,1841.92,922.00,842.15,4.335629304946775,76.93529751588677,False,923.4736842105264,4139
turin,1,vehev6,no-preemption,15239,3489.81,24863.40,4484.00,994.19,,,False,,48150
turin,1,vehev3,no-preemption,14368,9242.96,7232.82,10236.00,993.0400000000009,,,False,,41525
turin,1,vehev2,rfid,32668,130.97,1887.83,973.00,842.03,3.424448346949683,70.79821627647715,False,211.31578947368422,4159
turin,1,vehev5,fuzzy,32668,1571.01,6097.10,2132.00,560.99,-1.8293722416945166,-82.93722416945167,False,41.78947368421053,24559
turin,1,vehev6,tpn4,32668,533.04,11243.81,1526.00,992.96,10.854513732552906,90.78724275781254,False,412.030303030303,18419
turin,1,vehev1,rfid,20276,944.84,2931.33,1689.00,744.16,3.625206384149697,72.41536359495977,False,265.1714285714286,8518
turin,1,vehev2,allgreen,11718,70.70,1690.10,913.00,842.3,5.051909476661952,80.205504381667,False,914.7368421052631,4071
turin,1,vehev2,rfid,24847,145.80,1874.33,989.00,843.2,3.076474622770919,67.4952625125404,False,211.31578947368422,4319
turin,1,vehev3,no-preemption,24847,8956.33,9321.26,9951.00,994.6700000000001,,,False,,42947
turin,1,vehev3,kapusta2,22570,619.31,2977.39,1612.00,992.69,17.17080299042483,94.176160540904,False,599.5151515151515,8092
turin,1,vehev6,fuzzy,30616,6539.16,38726.14,7203.00,663.8400000000001,-1.3136330033427617,-31.36330033427617,False,47.303030303030305,64403
turin,1,vehev4,kapusta2,25029,3113.51,8004.60,3858.00,744.4899999999998,1.9804432939030225,49.50625432807936,False,1072.6571428571428,43261
turin,1,vehev3,fuzzy,16250,7168.78,8242.04,7833.00,664.2200000000003,1.7088863098044575,41.48235641758832,False,47.303030303030305,41184
turin,1,vehev2,no-preemption,22760,342.95,2280.70,1185.00,842.05,,,False,,5402
turin,1,vehev4,kapusta2,27226,4646.41,13628.00,5390.00,743.5900000000001,-1.1167805140678855,-11.678051406788548,False,1082.057142857143,56433
turin,1,vehev6,tpn4,27548,880.22,10936.95,1873.00,992.78,6.456624480243575,84.51203096819602,False,415.8787878787879,21965
turin,1,vehev6,rfid,32668,4114.97,28939.28,5110.00,995.0299999999997,1.4060588534059786,28.87922169277328,False,238.33333333333334,53007
turin,1,vehev3,kapustaimp,30616,921.45,6082.20,1915.00,993.55,7.749297303163492,87.09560414475554,False,215.0,10058
turin,1,vehev3,no-preemption,10105,7809.67,8893.06,8803.00,993.3299999999999,,,False,,41586
turin,1,vehev6,kapusta2,6325,3224.05,23940.44,4217.00,992.9499999999998,1.617574169135094,38.17903258589415,False,1455.060606060606,46480
turin,1,vehev1,kapustaimp,10105,93.90,3958.98,838.00,744.1,19.720127795527155,94.92903894757306,False,72.68571428571428,3682
turin,1,vehev6,tpn4,24847,796.33,12941.60,1790.00,993.67,5.814787839212387,82.80246798934886,False,477.5151515151515,21598
turin,1,vehev1,kapusta2,11718,1064.61,3349.86,1809.00,744.3900000000001,1.4428757948920263,30.693965236638242,False,333.77142857142854,9609
turin,1,vehev6,kapustaimp,30616,1344.74,13224.47,2338.00,993.26,3.701771346133825,72.98590575983543,False,309.42424242424244,33586
turin,1,vehev5,no-preemption,4771,1068.29,5085.78,1909.00,840.71,,,False,,22398
turin,1,vehev2,fuzzy,21907,772.18,2179.27,1333.00,560.82,-2.246864724881427,-124.68647248814268,False,41.78947368421053,6113
turin,1,vehev1,tpn4,22570,75.45,5540.05,819.00,743.55,74.70298210735587,98.66136535411277,False,370.8857142857143,3658
turin,1,vehev6,fuzzy,6479,1744.56,17914.16,2408.00,663.44,2.3291603613518594,57.066073397385416,False,47.303030303030305,27677
turin,1,vehev5,allgreen,22570,74.63,3573.43,917.00,842.37,15.787618920005361,93.66592261273266,False,918.7368421052631,13117
turin,1,vehev6,fuzzy,15239,2947.16,21771.96,3609.00,661.8400000000001,1.1841264132249352,15.549557139213888,False,47.303030303030305,40408
turin,1,vehev1,kapusta2,15239,146.13,1729.38,890.00,743.87,18.416820639156917,94.57018114259174,False,266.48571428571427,3990
turin,1,vehev3,kapusta2,27548,2919.55,6870.65,3913.00,993.4499999999998,3.200215786679454,68.7521071496994,False,880.7272727272727,27647
turin,1,vehev5,tpn4,16993,212.59,8688.19,1055.00,842.41,5.008278846606143,80.03306064562182,False,334.89473684210526,14328
turin,1,vehev4,kapusta2,10105,4321.95,14430.16,5066.00,744.0500000000002,1.1585256654982128,13.68339694313464,False,1080.3428571428572,52687
turin,1,vehev5,no-preemption,22737,961.83,5288.06,1803.00,841.17,,,False,,21098
turin,1,vehev1,rfid,30616,1116.53,3204.79,1861.00,744.47,1.3745712161786965,27.25004072324483,False,265.1714285714286,9491
turin,1,vehev6,tpn4,31737,586.11,12684.19,1580.00,993.89,7.493354489771545,86.65484194875602,False,441.27272727272725,19337
turin,1,vehev4,kapusta2,22737,4076.16,11815.98,4820.00,743.8400000000001,1.8232086081017427,45.151641147572086,False,1055.2,51552
turin,1,vehev3,kapusta2,32668,3452.82,7049.26,4446.00,993.1799999999998,2.01270266043408,50.31556227066696,False,927.6060606060606,31357
turin,1,vehev1,tpn4,6325,80.69,4977.02,824.00,743.31,19.062956995910277,94.75422412055727,False,374.8857142857143,3700
turin,1,vehev2,kapustaimp,22570,69.11,4288.65,911.00,841.89,4.948343220952106,79.79121586057664,False,74.21052631578948,3966
turin,1,vehev2,fuzzy,22570,484.95,1807.85,1048.00,563.05,-1.4180653839405812,-41.80653839405812,False,41.78947368421053,4605
turin,1,vehev4,kapustaimp,4771,3768.55,20118.06,4513.00,744.4499999999998,1.3571400140637644,26.31563511227991,False,342.37142857142857,63010
turin,1,vehev6,fuzzy,11718,2812.91,24698.90,3476.00,663.0900000000001,1.1071026090418818,9.674135727543042,False,47.303030303030305,38999
turin,1,vehev1,fuzzy,16250,2200.41,4669.53,2696.00,495.59000000000015,1.0383837557546094,3.6964903911382296,False,52.529411764705884,16522
turin,1,vehev5,kapustaimp,30616,160.91,9696.72,1002.00,841.09,6.614567149338139,84.88185277399351,False,90.36842105263158,15770
turin,1,vehev3,rfid,30366,2531.38,6500.56,3525.00,993.6199999999999,3.3126278946661505,69.81248628588328,False,238.33333333333334,24115
turin,1,vehev5,no-preemption,20276,1065.66,5557.18,1907.00,841.3399999999999,,,False,,22321
turin,1,vehev5,fuzzy,21907,1389.35,5928.69,1951.00,561.6500000000001,-1.633683740181553,-63.36837401815529,False,41.78947368421053,22684
turin,1,vehev6,allgreen,30366,1281.70,16885.46,2276.00,994.3,2.3440976827650775,57.339661766125346,False,2278.4848484848485,26850
turin,1,vehev5,no-preemption,15239,856.50,5075.14,1699.00,842.5,,,False,,20204
